OBJECTID,Neighborhood Name,Primary Ward,HasData,ORIGINAL_OID,Percent Minority Population,Total Population,Population Under 200% of Poverty,Population for which poverty status is determined,"Percent Non-Working Age (0-17, 65+)",Percent Seniors,Percent Children,Percent Unemployed,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,PriorityCategory,Shape__Area,Shape__Length,Percent Working Age (18-64)
64,Tanque Verde and Sabino Creeks,2,1,351,27.27,22,16,19,36.36,27.27,13.64,9.09,351,3.26544240400668,23.3020377441062,0.543297184192033,40.4934916655558,1.2,18,0,0,0.296789427379603,,15.7894736842105,,,0.209768215573782,104.877661946177,,5951541.73660278,13524.6031220522,63.64
65,Pantano Ranch,2,1,362,18.54,507,406,458,45.17,31.95,13.21,10.64,362,3.21676300578035,14.0504969239514,0.308333922441046,1644.32118265203,1.2,18,3.9495030760486,22.6504259168408,0.252424692065821,94.2824732127818,11.353711790393,04 Low Priority,89 - 99,0.119048393021802,4258.77231208949,Low Priority,3319113.92538452,7693.85596946861,54.83
66,Riverfront Plaza,1,0,164,0,0,0,0,0,0,0,0,164,7.35576923076923,8.38367835133987,0.0954165029406782,0,1.2,18,9.61632164866013,,,,,,,0.0368405177506287,0,,1027043.21893311,4568.01843210303,0
67,Sunset Villa,1,1,174,90.67,1329,354,1167,41.69,14,27.61,22.9,174,5.59961127308066,5.29961107154443,0.915627791068982,1451.46315234536,1.2,18,12.7003889284556,72.8368133914344,0.667164437801901,51.4058683424217,69.6658097686375,01 High Priority,0 - 64,0.353525866598962,3759.27230667851,High Priority,9835736.20803833,13409.6608402912,58.31
68,Interstate Commerce Park,4,1,315,0,0,0,0,0,0,0,0,315,7.59880320957432,1.45511913330575,6.65196057216725,0,1.2,18,16.5448808666942,,,,,,,2.56833633578529,0,,71608888.53125,42775.7500094971,0
69,Campus Farm,3,1,280,53.68,7694,2653,6991,27.33,9.96,17.38,17.26,280,4.39644970414201,11.461296092126,2.89308844385916,2659.44168292926,1,15,3.538703907874,20.2944900063546,0.553802388694735,88.7608629571394,62.051208696896,03 Low-Moderate Priority,79 - 89,1.11702769317293,6887.92233802648,Moderate Priority,31141050.3405457,23913.3177210973,72.67
70,Arroyo Ridge,4,1,331,37.59,1471,1123,1637,44.19,23.73,20.46,7.89,331,2.60631001371742,9.26310145264712,0.656822037156973,2239.57162942821,1,15,5.73689854735288,32.9011506098771,0.305199444815911,89.9585871000608,31.3989004276115,04 Low Priority,89 - 99,0.253600406358264,5800.46389169387,Low Priority,7065621.29577637,10679.1810047721,55.81
71,Armory Park,6,1,2,50.15,1952,963,1902,32.43,21.11,11.32,9.4,2,4.494960806271,16.9301263488816,0.803246493214213,2430.13821596534,1,15,0,0,0.459756137718786,100,49.3690851735016,04 Low Priority,99 - 100,0.310135204911759,6294.02908500952,Low Priority,8644539.73672485,12799.6317822722,67.57
72,Ironwood Ridge,1,1,29,74.23,163,91,172,38.04,15.34,22.09,15.73,29,5.08805031446541,11.6460305137627,0.142537331519563,1143.5600643164,1.2,18,6.3539694862373,36.4400564715787,0.539709374448254,80.3329599168652,47.093023255814,03 Low-Moderate Priority,79 - 89,0.0550339713798714,2961.80696964234,Moderate Priority,1534222.32397461,5297.50942935797,61.96
73,El Principal,2,1,356,0,0,0,0,0,0,0,0,356,4.4,4.17206318835597,0.0441501232734839,0,1.2,18,13.827936811644,,,,,,,0.0170464578980445,0,,483900.255126953,3948.40293007031,0
